bug_id,title,description,severity,priority,component,assigned_to,reporter,created_date,closed_date,status,resolution_time,reopen_count,reported_by
BUG-0014,Dashboard incorrect detected,Dashboard module shows incorrect during normal usage causing functional impact.,High,P2,Dashboard,dev_alice,qa_shivani,14-01-24,20-01-24,Closed,6.0,0,
BUG-0015,Reporting misaligned detected,Reporting module shows misaligned during normal usage causing functional impact.,Medium,P2,Reporting,dev_bob,qa_mike,15-01-24,20-01-24,Closed,5.0,0,
BUG-0016,Notification typo detected,Notification module shows typo during normal usage causing functional impact.,Low,P4,Notification,dev_charlie,qa_mike,16-01-24,,Open,,0,
BUG-0017,Authentication data loss detected,Authentication module shows data loss during normal usage causing functional impact.,Critical,P0,Authentication,dev_alice,qa_sarah,17-01-24,18-01-24,Closed,1.0,1,
BUG-0018,Database broken detected,Database module shows broken during normal usage causing functional impact.,High,P2,Database,dev_bob,qa_john,18-01-24,22-01-24,Closed,4.0,0,
BUG-0019,Payment glitch detected,Payment module shows glitch during normal usage causing functional impact.,Medium,P2,Payment,dev_charlie,qa_sarah,19-01-24,,Open,,0,
BUG-0020,API suggestion detected,API module shows suggestion during normal usage causing functional impact.,Low,P4,API,dev_diana,qa_john,20-01-24,03-02-24,Closed,14.0,0,
BUG-0021,UI crash detected,UI module shows crash during normal usage causing functional impact.,Critical,P1,UI,dev_evan,qa_shivani,21-01-24,23-01-24,Closed,2.0,1,
BUG-0022,Dashboard failed detected,Dashboard module shows failed during normal usage causing functional impact.,High,P2,Dashboard,dev_alice,qa_shivani,22-01-24,,Open,,0,
BUG-0023,Reporting problem detected,Reporting module shows problem during normal usage causing functional impact.,Medium,P2,Reporting,dev_bob,qa_mike,23-01-24,27-01-24,Closed,4.0,0,
BUG-0024,Notification minor detected,Notification module shows minor during normal usage causing functional impact.,Low,P4,Notification,dev_charlie,qa_mike,24-01-24,30-01-24,Closed,6.0,0,
BUG-0025,Authentication vulnerability detected,Authentication module shows vulnerability during normal usage causing functional impact.,Critical,P0,Authentication,dev_alice,qa_sarah,25-01-24,,Open,,0,
BUG-0026,Database error detected,Database module shows error during normal usage causing functional impact.,High,P2,Database,dev_bob,qa_john,26-01-24,01-02-24,Closed,6.0,0,
BUG-0027,Payment issue detected,Payment module shows issue during normal usage causing functional impact.,Medium,P2,Payment,dev_charlie,qa_sarah,27-01-24,03-02-24,Closed,7.0,0,
BUG-0028,API cosmetic detected,API module shows cosmetic during normal usage causing functional impact.,Low,P4,API,dev_diana,qa_john,28-01-24,,Open,,0,
BUG-0029,UI service down detected,UI module shows service down during normal usage causing functional impact.,Critical,P1,UI,dev_evan,qa_shivani,29-01-24,02-02-24,Closed,4.0,0,
BUG-0030,Dashboard not working detected,Dashboard module shows not working during normal usage causing functional impact.,High,P2,Dashboard,dev_alice,qa_shivani,30-01-24,07-02-24,Closed,8.0,0,
BUG-0031,Reporting slow detected,Reporting module shows slow during normal usage causing functional impact.,Medium,P2,Reporting,dev_bob,qa_mike,31-01-24,,Open,,0,
BUG-0032,Notification spelling detected,Notification module shows spelling during normal usage causing functional impact.,Low,P4,Notification,dev_charlie,qa_mike,01-02-24,07-02-24,Closed,6.0,0,
BUG-0033,Authentication security breach detected,Authentication module shows security breach during normal usage causing functional impact.,Critical,P0,Authentication,dev_alice,qa_sarah,02-02-24,05-02-24,Closed,3.0,0,
BUG-0034,Database incorrect detected,Database module shows incorrect during normal usage causing functional impact.,High,P2,Database,dev_bob,qa_john,03-02-24,,Open,,0,
BUG-0035,Payment misaligned detected,Payment module shows misaligned during normal usage causing functional impact.,Medium,P2,Payment,dev_charlie,qa_sarah,04-02-24,12-02-24,Closed,8.0,1,
BUG-0036,API typo detected,API module shows typo during normal usage causing functional impact.,Low,P4,API,dev_diana,qa_john,05-02-24,15-02-24,Closed,10.0,0,
BUG-0037,UI data loss detected,UI module shows data loss during normal usage causing functional impact.,Critical,P1,UI,dev_evan,qa_shivani,06-02-24,,Open,,0,
BUG-0038,Dashboard broken detected,Dashboard module shows broken during normal usage causing functional impact.,High,P2,Dashboard,dev_alice,qa_shivani,07-02-24,14-02-24,Closed,7.0,0,
BUG-0039,Reporting glitch detected,Reporting module shows glitch during normal usage causing functional impact.,Medium,P2,Reporting,dev_bob,qa_shivani,08-02-24,14-02-24,Closed,6.0,0,
BUG-0040,Notification suggestion detected,Notification module shows suggestion during normal usage causing functional impact.,Low,P4,Notification,dev_charlie,qa_sarah,09-02-24,,Open,,0,
BUG-0041,Authentication crash detected,Authentication module shows crash during normal usage causing functional impact.,Critical,P0,Authentication,dev_alice,qa_shivani,10-02-24,12-02-24,Closed,2.0,0,
BUG-0042,Database failed detected,Database module shows failed during normal usage causing functional impact.,High,P2,Database,dev_bob,qa_john,11-02-24,18-02-24,Closed,7.0,0,
BUG-0043,Payment problem detected,Payment module shows problem during normal usage causing functional impact.,Medium,P2,Payment,dev_charlie,qa_john,12-02-24,,Open,,0,
BUG-0044,API minor detected,API module shows minor during normal usage causing functional impact.,Low,P4,API,dev_diana,qa_john,13-02-24,27-02-24,Closed,14.0,0,
BUG-0045,UI vulnerability detected,UI module shows vulnerability during normal usage causing functional impact.,Critical,P1,UI,dev_evan,qa_shivani,14-02-24,17-02-24,Closed,3.0,0,
BUG-0046,Dashboard error detected,Dashboard module shows error during normal usage causing functional impact.,High,P2,Dashboard,dev_alice,qa_shivani,15-02-24,,Open,,0,
BUG-0047,Reporting issue detected,Reporting module shows issue during normal usage causing functional impact.,Medium,P2,Reporting,dev_bob,qa_mike,16-02-24,21-02-24,Closed,5.0,0,
BUG-0048,Notification cosmetic detected,Notification module shows cosmetic during normal usage causing functional impact.,Low,P4,Notification,dev_charlie,qa_mike,17-02-24,29-02-24,Closed,12.0,0,
BUG-0049,Authentication service down detected,Authentication module shows service down during normal usage causing functional impact.,Critical,P0,Authentication,dev_alice,qa_mike,18-02-24,,Open,,0,
BUG-0050,Database not working detected,Database module shows not working during normal usage causing functional impact.,High,P2,Database,dev_bob,qa_john,19-02-24,24-02-24,Closed,5.0,0,
BUG-0051,Payment slow detected,Payment module shows slow during normal usage causing functional impact.,Medium,P2,Payment,dev_charlie,qa_sarah,20-02-24,23-02-24,Closed,3.0,0,
BUG-0052,API spelling detected,API module shows spelling during normal usage causing functional impact.,Low,P4,API,dev_diana,qa_john,21-02-24,,Open,,0,
BUG-0053,UI security breach detected,UI module shows security breach during normal usage causing functional impact.,Critical,P1,UI,dev_evan,qa_shivani,22-02-24,25-02-24,Closed,3.0,0,
BUG-0054,Dashboard incorrect detected,Dashboard module shows incorrect during normal usage causing functional impact.,High,P2,Dashboard,dev_alice,qa_shivani,23-02-24,02-03-24,Closed,8.0,0,
BUG-0055,Reporting misaligned detected,Reporting module shows misaligned during normal usage causing functional impact.,Medium,P2,Reporting,dev_bob,qa_mike,24-02-24,,Open,,0,
BUG-0056,Notification typo detected,Notification module shows typo during normal usage causing functional impact.,Low,P4,Notification,dev_charlie,qa_mike,25-02-24,10-03-24,Closed,14.0,0,
BUG-0057,Authentication data loss detected,Authentication module shows data loss during normal usage causing functional impact.,Critical,P0,Authentication,dev_alice,qa_sarah,26-02-24,27-02-24,Closed,1.0,0,
BUG-0058,Database broken detected,Database module shows broken during normal usage causing functional impact.,High,P2,Database,dev_bob,qa_john,27-02-24,,Open,,0,
BUG-0059,Payment glitch detected,Payment module shows glitch during normal usage causing functional impact.,Medium,P2,Payment,dev_charlie,qa_sarah,28-02-24,05-03-24,Closed,6.0,0,
BUG-0060,API suggestion detected,API module shows suggestion during normal usage causing functional impact.,Low,P4,API,dev_diana,qa_john,29-02-24,12-03-24,Closed,12.0,0,
BUG-0061,UI crash detected,UI module shows crash during normal usage causing functional impact.,Critical,P1,UI,dev_evan,qa_shivani,01-03-24,,Open,,0,
BUG-0062,Dashboard failed detected,Dashboard module shows failed during normal usage causing functional impact.,High,P2,Dashboard,dev_alice,qa_shivani,02-03-24,06-03-24,Closed,4.0,0,
BUG-0063,Reporting problem detected,Reporting module shows problem during normal usage causing functional impact.,Medium,P2,Reporting,dev_bob,qa_john,03-03-24,11-03-24,Closed,8.0,0,
BUG-0064,Notification minor detected,Notification module shows minor during normal usage causing functional impact.,Low,P4,Notification,dev_charlie,qa_mike,04-03-24,,Open,,0,
BUG-0065,Authentication vulnerability detected,Authentication module shows vulnerability during normal usage causing functional impact.,Critical,P0,Authentication,dev_alice,qa_sarah,05-03-24,07-03-24,Closed,2.0,0,
BUG-0066,Database error detected,Database module shows error during normal usage causing functional impact.,High,P2,Database,dev_bob,qa_john,06-03-24,10-03-24,Closed,4.0,0,
BUG-0067,Payment issue detected,Payment module shows issue during normal usage causing functional impact.,Medium,P2,Payment,dev_charlie,qa_sarah,07-03-24,,Open,,0,
BUG-0068,API cosmetic detected,API module shows cosmetic during normal usage causing functional impact.,Low,P4,API,dev_diana,qa_john,08-03-24,16-03-24,Closed,8.0,0,
BUG-0069,UI service down detected,UI module shows service down during normal usage causing functional impact.,Critical,P1,UI,dev_evan,qa_sarah,09-03-24,14-03-24,Closed,5.0,0,
BUG-0070,Dashboard not working detected,Dashboard module shows not working during normal usage causing functional impact.,High,P2,Dashboard,dev_alice,qa_shivani,10-03-24,,Open,,0,
BUG-0071,Reporting slow detected,Reporting module shows slow during normal usage causing functional impact.,Medium,P2,Reporting,dev_bob,qa_shivani,11-03-24,15-03-24,Closed,4.0,0,
BUG-0072,Notification spelling detected,Notification module shows spelling during normal usage causing functional impact.,Low,P4,Notification,dev_charlie,qa_mike,12-03-24,18-03-24,Closed,6.0,0,
BUG-0073,Authentication security breach detected,Authentication module shows security breach during normal usage causing functional impact.,Critical,P0,Authentication,dev_alice,qa_mike,13-03-24,,Open,,0,
BUG-0074,Database incorrect detected,Database module shows incorrect during normal usage causing functional impact.,High,P2,Database,dev_bob,qa_john,14-03-24,18-03-24,Closed,4.0,0,
BUG-0075,Payment misaligned detected,Payment module shows misaligned during normal usage causing functional impact.,Medium,P2,Payment,dev_charlie,qa_sarah,15-03-24,20-03-24,Closed,5.0,0,
BUG-0076,API typo detected,API module shows typo during normal usage causing functional impact.,Low,P4,API,dev_diana,qa_john,16-03-24,,Open,,0,
BUG-0077,UI data loss detected,UI module shows data loss during normal usage causing functional impact.,Critical,P1,UI,dev_evan,qa_shivani,17-03-24,22-03-24,Closed,5.0,0,
BUG-0078,Dashboard broken detected,Dashboard module shows broken during normal usage causing functional impact.,High,P2,Dashboard,dev_alice,qa_shivani,18-03-24,25-03-24,Closed,7.0,0,
BUG-0079,Reporting glitch detected,Reporting module shows glitch during normal usage causing functional impact.,Medium,P2,Reporting,dev_bob,qa_sarah,19-03-24,,Open,,0,
BUG-0080,Notification suggestion detected,Notification module shows suggestion during normal usage causing functional impact.,Low,P4,Notification,dev_charlie,qa_mike,20-03-24,25-03-24,Closed,5.0,0,
BUG-0081,Authentication crash detected,Authentication module shows crash during normal usage causing functional impact.,Critical,P0,Authentication,dev_alice,qa_sarah,21-03-24,22-03-24,Closed,1.0,0,
BUG-0082,Database failed detected,Database module shows failed during normal usage causing functional impact.,High,P2,Database,dev_bob,qa_john,22-03-24,,Open,,0,
BUG-0083,Payment problem detected,Payment module shows problem during normal usage causing functional impact.,Medium,P2,Payment,dev_charlie,qa_sarah,23-03-24,28-03-24,Closed,5.0,0,
BUG-0084,API minor detected,API module shows minor during normal usage causing functional impact.,Low,P4,API,dev_diana,qa_sarah,24-03-24,07-04-24,Closed,14.0,0,
BUG-0085,UI vulnerability detected,UI module shows vulnerability during normal usage causing functional impact.,Critical,P1,UI,dev_evan,qa_shivani,25-03-24,,Open,,0,
BUG-0086,Dashboard error detected,Dashboard module shows error during normal usage causing functional impact.,High,P2,Dashboard,dev_alice,qa_shivani,26-03-24,31-03-24,Closed,5.0,0,
BUG-0087,Reporting issue detected,Reporting module shows issue during normal usage causing functional impact.,Medium,P2,Reporting,dev_bob,qa_mike,27-03-24,31-03-24,Closed,4.0,0,
BUG-0088,Notification cosmetic detected,Notification module shows cosmetic during normal usage causing functional impact.,Low,P4,Notification,dev_charlie,qa_mike,28-03-24,,Open,,0,
BUG-0089,Authentication service down detected,Authentication module shows service down during normal usage causing functional impact.,Critical,P0,Authentication,dev_alice,qa_sarah,29-03-24,30-03-24,Closed,1.0,0,
BUG-0090,Database not working detected,Database module shows not working during normal usage causing functional impact.,High,P2,Database,dev_bob,qa_john,30-03-24,05-04-24,Closed,6.0,0,
BUG-0091,Payment slow detected,Payment module shows slow during normal usage causing functional impact.,Medium,P2,Payment,dev_charlie,qa_sarah,31-03-24,,Open,,0,
BUG-0092,API spelling detected,API module shows spelling during normal usage causing functional impact.,Low,P4,API,dev_diana,qa_john,01-04-24,11-04-24,Closed,10.0,0,
BUG-0093,UI security breach detected,UI module shows security breach during normal usage causing functional impact.,Critical,P1,UI,dev_evan,qa_shivani,02-04-24,06-04-24,Closed,4.0,0,
BUG-0094,Dashboard incorrect detected,Dashboard module shows incorrect during normal usage causing functional impact.,High,P2,Dashboard,dev_alice,qa_shivani,03-04-24,,Open,,0,
BUG-0095,Reporting misaligned detected,Reporting module shows misaligned during normal usage causing functional impact.,Medium,P2,Reporting,dev_bob,qa_mike,04-04-24,11-04-24,Closed,7.0,0,
BUG-0096,Notification typo detected,Notification module shows typo during normal usage causing functional impact.,Low,P4,Notification,dev_charlie,qa_mike,05-04-24,16-04-24,Closed,11.0,0,
BUG-0097,Authentication data loss detected,Authentication module shows data loss during normal usage causing functional impact.,Critical,P0,Authentication,dev_alice,qa_sarah,06-04-24,,Open,,0,
BUG-0098,Database broken detected,Database module shows broken during normal usage causing functional impact.,High,P2,Database,dev_bob,qa_john,07-04-24,10-04-24,Closed,3.0,0,
BUG-0099,Payment glitch detected,Payment module shows glitch during normal usage causing functional impact.,Medium,P2,Payment,dev_charlie,qa_sarah,08-04-24,12-04-24,Closed,4.0,0,
BUG-0100,API suggestion detected,API module shows suggestion during normal usage causing functional impact.,Low,P4,API,dev_diana,qa_john,09-04-24,,Open,,0,
BUG-0101,UI crash detected,UI module shows crash during normal usage causing functional impact.,Critical,P1,UI,dev_evan,qa_shivani,10-04-24,12-04-24,Closed,2.0,0,
BUG-0102,Dashboard failed detected,Dashboard module shows failed during normal usage causing functional impact.,High,P2,Dashboard,dev_alice,qa_shivani,11-04-24,15-04-24,Closed,4.0,0,
BUG-0103,Reporting problem detected,Reporting module shows problem during normal usage causing functional impact.,Medium,P2,Reporting,dev_bob,qa_mike,12-04-24,,Open,,0,
BUG-0104,Notification minor detected,Notification module shows minor during normal usage causing functional impact.,Low,P4,Notification,dev_charlie,qa_sarah,13-04-24,18-04-24,Closed,5.0,0,
BUG-0105,Authentication vulnerability detected,Authentication module shows vulnerability during normal usage causing functional impact.,Critical,P0,Authentication,dev_alice,qa_sarah,14-04-24,16-04-24,Closed,2.0,0,
BUG-0106,Database error detected,Database module shows error during normal usage causing functional impact.,High,P2,Database,dev_bob,qa_sarah,15-04-24,,Open,,0,
BUG-0107,Payment issue detected,Payment module shows issue during normal usage causing functional impact.,Medium,P2,Payment,dev_charlie,qa_sarah,16-04-24,24-04-24,Closed,8.0,1,
BUG-0108,API cosmetic detected,API module shows cosmetic during normal usage causing functional impact.,Low,P4,API,dev_diana,qa_john,17-04-24,23-04-24,Closed,6.0,0,
BUG-0109,UI service down detected,UI module shows service down during normal usage causing functional impact.,Critical,P1,UI,dev_evan,qa_shivani,18-04-24,,Open,,0,
BUG-0110,Dashboard not working detected,Dashboard module shows not working during normal usage causing functional impact.,High,P2,Dashboard,dev_alice,qa_shivani,19-04-24,22-04-24,Closed,3.0,0,
BUG-0111,Reporting slow detected,Reporting module shows slow during normal usage causing functional impact.,Medium,P2,Reporting,dev_bob,qa_mike,20-04-24,28-04-24,Closed,8.0,0,
BUG-0112,Notification spelling detected,Notification module shows spelling during normal usage causing functional impact.,Low,P4,Notification,dev_charlie,qa_mike,21-04-24,,Open,,0,
BUG-0113,Authentication security breach detected,Authentication module shows security breach during normal usage causing functional impact.,Critical,P0,Authentication,dev_alice,qa_sarah,22-04-24,25-04-24,Closed,3.0,2,
BUG-0114,Database incorrect detected,Database module shows incorrect during normal usage causing functional impact.,High,P2,Database,dev_bob,qa_sarah,23-04-24,29-04-24,Closed,6.0,1,
BUG-0115,Payment misaligned detected,Payment module shows misaligned during normal usage causing functional impact.,Medium,P2,Payment,dev_charlie,qa_sarah,24-04-24,,Open,,0,
BUG-0116,API typo detected,API module shows typo during normal usage causing functional impact.,Low,P4,API,dev_diana,qa_shivani,25-04-24,08-05-24,Closed,13.0,0,
BUG-0117,UI data loss detected,UI module shows data loss during normal usage causing functional impact.,Critical,P1,UI,dev_evan,qa_shivani,26-04-24,30-04-24,Closed,4.0,1,
BUG-0118,Dashboard broken detected,Dashboard module shows broken during normal usage causing functional impact.,High,P2,Dashboard,dev_alice,qa_john,27-04-24,,Open,,0,
BUG-0119,Reporting glitch detected,Reporting module shows glitch during normal usage causing functional impact.,Medium,P2,Reporting,dev_bob,qa_mike,28-04-24,05-05-24,Closed,7.0,0,
BUG-0120,Notification suggestion detected,Notification module shows suggestion during normal usage causing functional impact.,Low,P4,Notification,dev_charlie,qa_sarah,29-04-24,06-05-24,Closed,7.0,1,
BUG-0121,Authentication crash detected,Authentication module shows crash during normal usage causing functional impact.,Critical,P0,Authentication,dev_alice,qa_mike,30-04-24,,Open,,0,
BUG-0122,Database failed detected,Database module shows failed during normal usage causing functional impact.,High,P2,Database,dev_bob,qa_john,01-05-24,05-05-24,Closed,4.0,1,
BUG-0123,Payment problem detected,Payment module shows problem during normal usage causing functional impact.,Medium,P2,Payment,dev_charlie,qa_john,02-05-24,05-05-24,Closed,3.0,0,
BUG-0124,API minor detected,API module shows minor during normal usage causing functional impact.,Low,P4,API,dev_diana,qa_sarah,03-05-24,,Open,,0,
BUG-0125,UI vulnerability detected,UI module shows vulnerability during normal usage causing functional impact.,Critical,P1,UI,dev_evan,qa_shivani,04-05-24,06-05-24,Closed,2.0,0,
BUG-0126,Dashboard error detected,Dashboard module shows error during normal usage causing functional impact.,High,P2,Dashboard,dev_alice,qa_shivani,05-05-24,13-05-24,Closed,8.0,0,
BUG-0127,Reporting issue detected,Reporting module shows issue during normal usage causing functional impact.,Medium,P2,Reporting,dev_bob,qa_shivani,06-05-24,,Open,,0,
BUG-0128,Notification cosmetic detected,Notification module shows cosmetic during normal usage causing functional impact.,Low,P4,Notification,dev_charlie,qa_mike,07-05-24,12-05-24,Closed,5.0,0,
BUG-0129,Authentication service down detected,Authentication module shows service down during normal usage causing functional impact.,Critical,P0,Authentication,dev_alice,qa_sarah,08-05-24,10-05-24,Closed,2.0,1,
BUG-0130,Database not working detected,Database module shows not working during normal usage causing functional impact.,High,P2,Database,dev_bob,qa_john,09-05-24,,Open,,0,
BUG-0131,Payment slow detected,Payment module shows slow during normal usage causing functional impact.,Medium,P2,Payment,dev_charlie,qa_john,10-05-24,15-05-24,Closed,5.0,0,
BUG-0132,API spelling detected,API module shows spelling during normal usage causing functional impact.,Low,P4,API,dev_diana,qa_john,11-05-24,24-05-24,Closed,13.0,0,
BUG-0133,UI security breach detected,UI module shows security breach during normal usage causing functional impact.,Critical,P1,UI,dev_evan,qa_shivani,12-05-24,,Open,,0,
BUG-0134,Dashboard incorrect detected,Dashboard module shows incorrect during normal usage causing functional impact.,High,P2,Dashboard,dev_alice,qa_shivani,13-05-24,20-05-24,Closed,7.0,1,
BUG-0135,Reporting misaligned detected,Reporting module shows misaligned during normal usage causing functional impact.,Medium,P2,Reporting,dev_bob,qa_mike,14-05-24,22-05-24,Closed,8.0,0,
BUG-0136,Notification typo detected,Notification module shows typo during normal usage causing functional impact.,Low,P4,Notification,dev_charlie,qa_mike,15-05-24,,Open,,0,
BUG-0137,Authentication data loss detected,Authentication module shows data loss during normal usage causing functional impact.,Critical,P0,Authentication,dev_alice,qa_sarah,16-05-24,19-05-24,Closed,3.0,0,
BUG-0138,Database broken detected,Database module shows broken during normal usage causing functional impact.,High,P2,Database,dev_bob,qa_john,17-05-24,20-05-24,Closed,3.0,0,
BUG-0139,Payment glitch detected,Payment module shows glitch during normal usage causing functional impact.,Medium,P2,Payment,dev_charlie,qa_sarah,18-05-24,,Open,,0,
BUG-0140,API suggestion detected,API module shows suggestion during normal usage causing functional impact.,Low,P4,API,dev_diana,qa_john,19-05-24,25-05-24,Closed,6.0,1,
BUG-0141,UI crash detected,UI module shows crash during normal usage causing functional impact.,Critical,P1,UI,dev_evan,qa_john,20-05-24,25-05-24,Closed,5.0,0,
BUG-0142,Dashboard failed detected,Dashboard module shows failed during normal usage causing functional impact.,High,P2,Dashboard,dev_alice,qa_shivani,21-05-24,,Open,,0,
BUG-0143,Reporting problem detected,Reporting module shows problem during normal usage causing functional impact.,Medium,P2,Reporting,dev_bob,qa_mike,22-05-24,27-05-24,Closed,5.0,0,
BUG-0144,Notification minor detected,Notification module shows minor during normal usage causing functional impact.,Low,P4,Notification,dev_charlie,qa_mike,23-05-24,02-06-24,Closed,10.0,0,
BUG-0145,Authentication vulnerability detected,Authentication module shows vulnerability during normal usage causing functional impact.,Critical,P0,Authentication,dev_alice,qa_sarah,24-05-24,,Open,,0,
BUG-0146,Database error detected,Database module shows error during normal usage causing functional impact.,High,P2,Database,dev_bob,qa_john,25-05-24,29-05-24,Closed,4.0,0,
BUG-0147,Payment issue detected,Payment module shows issue during normal usage causing functional impact.,Medium,P2,Payment,dev_charlie,qa_shivani,26-05-24,30-05-24,Closed,4.0,0,
BUG-0148,API cosmetic detected,API module shows cosmetic during normal usage causing functional impact.,Low,P4,API,dev_diana,qa_john,27-05-24,,Open,,0,
BUG-0149,UI service down detected,UI module shows service down during normal usage causing functional impact.,Critical,P1,UI,dev_evan,qa_shivani,28-05-24,02-06-24,Closed,5.0,0,
BUG-0150,Dashboard not working detected,Dashboard module shows not working during normal usage causing functional impact.,High,P2,Dashboard,dev_alice,qa_sarah,29-05-24,06-06-24,Closed,8.0,0,
BUG-0151,Reporting slow detected,Reporting module shows slow during normal usage causing functional impact.,Medium,P2,Reporting,dev_bob,qa_mike,30-05-24,,Open,,0,
BUG-0152,Notification spelling detected,Notification module shows spelling during normal usage causing functional impact.,Low,P4,Notification,dev_charlie,qa_mike,31-05-24,06-06-24,Closed,6.0,0,
BUG-0153,Authentication security breach detected,Authentication module shows security breach during normal usage causing functional impact.,Critical,P0,Authentication,dev_alice,qa_sarah,01-06-24,02-06-24,Closed,1.0,0,
BUG-0154,Database incorrect detected,Database module shows incorrect during normal usage causing functional impact.,High,P2,Database,dev_bob,qa_john,02-06-24,,Open,,0,
BUG-0155,Payment misaligned detected,Payment module shows misaligned during normal usage causing functional impact.,Medium,P2,Payment,dev_charlie,qa_sarah,03-06-24,09-06-24,Closed,6.0,1,
BUG-0156,API typo detected,API module shows typo during normal usage causing functional impact.,Low,P4,API,dev_diana,qa_sarah,04-06-24,10-06-24,Closed,6.0,0,
BUG-0157,UI data loss detected,UI module shows data loss during normal usage causing functional impact.,Critical,P1,UI,dev_evan,qa_mike,05-06-24,,Open,,0,
BUG-0158,Dashboard broken detected,Dashboard module shows broken during normal usage causing functional impact.,High,P2,Dashboard,dev_alice,qa_mike,06-06-24,14-06-24,Closed,8.0,0,
BUG-0159,Reporting glitch detected,Reporting module shows glitch during normal usage causing functional impact.,Medium,P2,Reporting,dev_bob,qa_shivani,07-06-24,14-06-24,Closed,7.0,0,
BUG-0160,Notification suggestion detected,Notification module shows suggestion during normal usage causing functional impact.,Low,P4,Notification,dev_charlie,qa_sarah,08-06-24,,Open,,0,
BUG-0161,Authentication crash detected,Authentication module shows crash during normal usage causing functional impact.,Critical,P0,Authentication,dev_alice,qa_sarah,09-06-24,12-06-24,Closed,3.0,0,
BUG-0162,Database failed detected,Database module shows failed during normal usage causing functional impact.,High,P2,Database,dev_bob,qa_john,10-06-24,13-06-24,Closed,3.0,0,
BUG-0163,Payment problem detected,Payment module shows problem during normal usage causing functional impact.,Medium,P2,Payment,dev_charlie,qa_john,11-06-24,,Open,,0,
BUG-0164,API minor detected,API module shows minor during normal usage causing functional impact.,Low,P4,API,dev_diana,qa_john,12-06-24,25-06-24,Closed,13.0,0,
BUG-0165,UI vulnerability detected,UI module shows vulnerability during normal usage causing functional impact.,Critical,P1,UI,dev_evan,qa_shivani,13-06-24,18-06-24,Closed,5.0,0,
BUG-0166,Dashboard error detected,Dashboard module shows error during normal usage causing functional impact.,High,P2,Dashboard,dev_alice,qa_shivani,14-06-24,,Open,,0,
BUG-0167,Reporting issue detected,Reporting module shows issue during normal usage causing functional impact.,Medium,P2,Reporting,dev_bob,qa_mike,15-06-24,22-06-24,Closed,7.0,0,
BUG-0168,Notification cosmetic detected,Notification module shows cosmetic during normal usage causing functional impact.,Low,P4,Notification,dev_charlie,qa_mike,16-06-24,22-06-24,Closed,6.0,0,
BUG-0169,Authentication service down detected,Authentication module shows service down during normal usage causing functional impact.,Critical,P0,Authentication,dev_alice,qa_sarah,17-06-24,,Open,,0,
BUG-0170,Database not working detected,Database module shows not working during normal usage causing functional impact.,High,P2,Database,dev_bob,qa_john,18-06-24,23-06-24,Closed,5.0,0,
BUG-0171,Payment slow detected,Payment module shows slow during normal usage causing functional impact.,Medium,P2,Payment,dev_charlie,qa_mike,19-06-24,23-06-24,Closed,4.0,1,
BUG-0172,API spelling detected,API module shows spelling during normal usage causing functional impact.,Low,P4,API,dev_diana,qa_john,20-06-24,,Open,,0,
BUG-0173,UI security breach detected,UI module shows security breach during normal usage causing functional impact.,Critical,P1,UI,dev_evan,qa_shivani,21-06-24,26-06-24,Closed,5.0,1,
